Mês,Escola,CodEscola,Nome Funcionario,CodFuncionario,Categoria,CodDisciplina,Disciplina,inicio do periodo,final do periodo,DiasTrabalhados,CHSuprimento,CHDiaria,CHPeriodo
Abril,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,4393,NEGOCIACAO E VENDAS,45748,45748,1,2,"0,285714","0,285714"
Fevereiro,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,4450,RECURSOS HUMANOS,45691,45716,26,6,"0,857142","22,285692"
Março,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,4450,RECURSOS HUMANOS,45717,45747,31,6,"0,857142","26,5714"
Abril,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,4450,RECURSOS HUMANOS,45748,45748,1,6,"0,857142","0,857142"
Fevereiro,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,4769,INTRODUCAO AO MARKETING,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,4769,INTRODUCAO AO MARKETING,45717,45747,31,4,"0,571428","17,71427"
Abril,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,4769,INTRODUCAO AO MARKETING,45748,45748,1,4,"0,571428","0,571428"
Fevereiro,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,5020,COMUNICACAO E VENDAS,45691,45716,26,1,"0,142857","3,714282"
Março,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,5020,COMUNICACAO E VENDAS,45717,45747,31,1,"0,142857","4,428567"
Abril,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,5020,COMUNICACAO E VENDAS,45748,45748,1,1,"0,142857","0,142857"
Fevereiro,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,5833,TECNOLOGIAS DIGITAIS APL MARKE,45691,45716,26,1,"0,142857","3,714282"
Março,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,5833,TECNOLOGIAS DIGITAIS APL MARKE,45717,45747,31,1,"0,142857","4,428567"
Abril,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,5833,TECNOLOGIAS DIGITAIS APL MARKE,45748,45748,1,1,"0,142857","0,142857"
Fevereiro,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,594,PROJETO DE VIDA,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,594,PROJETO DE VIDA,45717,45747,31,4,"0,571428","17,71427"
Abril,ESCOLA I ,ABC9,Antônia Xisto,754,REGENCIA,594,PROJETO DE VIDA,45748,45748,1,4,"0,571428","0,571428"
Abril,ESCOLA I ,ABC9,Antônia Xisto,754,NAO REGENCIA,9220,COORD DE CURSO,45771,45777,7,25,"3,571428","24,999996"
Fevereiro,ESCOLA O ,ABC15,Antônio Ferreira,526,REGENCIA,601,EDUCACAO FISICA,45691,45693,3,16,"2,285714","6,857142"
Fevereiro,ESCOLA O ,ABC15,Antônio Ferreira,526,REGENCIA,601,EDUCACAO FISICA,45694,45716,23,18,"2,571428","59,142844"
Março,ESCOLA O ,ABC15,Antônio Ferreira,526,REGENCIA,601,EDUCACAO FISICA,45717,45747,31,18,"2,571428","79,71427"
Abril,ESCOLA O ,ABC15,Antônio Ferreira,526,REGENCIA,601,EDUCACAO FISICA,45748,45777,30,18,"2,571428","77,14284"
Fevereiro,ESCOLA O ,ABC15,Antônio Ferreira,526,NAO REGENCIA,9316,EQUIPE PEDAGOGICA,45691,45716,26,20,"2,857142","74,285692"
Março,ESCOLA O ,ABC15,Antônio Ferreira,526,NAO REGENCIA,9316,EQUIPE PEDAGOGICA,45717,45747,31,20,"2,857142","88,5714"
Abril,ESCOLA O ,ABC15,Antônio Ferreira,526,NAO REGENCIA,9316,EQUIPE PEDAGOGICA,45748,45777,30,20,"2,857142","85,71426"
Fevereiro,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,REGENCIA,201,MATEMATICA,45691,45716,26,8,"1,142857","29,714282"
Março,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,REGENCIA,201,MATEMATICA,45717,45747,31,8,"1,142857","35,42857"
Abril,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,REGENCIA,201,MATEMATICA,45748,45777,30,8,"1,142857","34,28571"
Fevereiro,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,REGENCIA,2565,EDUCACAO FINANCEIRA I,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,REGENCIA,2565,EDUCACAO FINANCEIRA I,45717,45718,2,4,"0,571428","1,142856"
Março,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,REGENCIA,2565,EDUCACAO FINANCEIRA I,45719,45732,14,6,"0,857142","11,99999"
Março,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,REGENCIA,2565,EDUCACAO FINANCEIRA I,45733,45747,15,2,"0,285714","4,28571"
Abril,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,REGENCIA,2565,EDUCACAO FINANCEIRA I,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,REGENCIA,6340,PROGRAMACAO E ROBOTICA,45691,45716,26,6,"0,857142","22,285692"
Março,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,REGENCIA,6340,PROGRAMACAO E ROBOTICA,45717,45718,2,6,"0,857142","1,714284"
Março,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,REGENCIA,6340,PROGRAMACAO E ROBOTICA,45719,45747,29,12,"1,714285","49,71427"
Abril,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,REGENCIA,6340,PROGRAMACAO E ROBOTICA,45748,45777,30,12,"1,714285","51,42855"
Fevereiro,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,REGENCIA,6362,ESTUDO ORIENTADO I,45691,45716,26,6,"0,857142","22,285692"
Março,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,REGENCIA,6362,ESTUDO ORIENTADO I,45717,45747,31,6,"0,857142","26,5714"
Abril,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,REGENCIA,6362,ESTUDO ORIENTADO I,45748,45777,30,6,"0,857142","25,71426"
Fevereiro,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,NAO REGENCIA,9087,COORD DE AREA,45691,45716,26,8,"1,142857","29,714282"
Março,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,NAO REGENCIA,9087,COORD DE AREA,45717,45747,31,8,"1,142857","35,42857"
Abril,ESCOLA Q ,ABC17,Antônio Santos Barreto,710,NAO REGENCIA,9087,COORD DE AREA,45748,45777,30,8,"1,142857","34,28571"
Fevereiro,ESCOLA W ,ABC21,Antônio Santos Cavalcanti,600,REGENCIA,501,HISTORIA,45691,45716,26,27,"3,857142","100,285692"
Março,ESCOLA W ,ABC21,Antônio Santos Cavalcanti,600,REGENCIA,501,HISTORIA,45717,45747,31,27,"3,857142","119,5714"
Abril,ESCOLA W ,ABC21,Antônio Santos Cavalcanti,600,REGENCIA,501,HISTORIA,45748,45777,30,27,"3,857142","115,71426"
Fevereiro,ESCOLA W ,ABC21,Antônio Santos Cavalcanti,600,REGENCIA,5641,PROJETO DE VIDA I,45691,45716,26,6,"0,857142","22,285692"
Março,ESCOLA W ,ABC21,Antônio Santos Cavalcanti,600,REGENCIA,5641,PROJETO DE VIDA I,45717,45747,31,6,"0,857142","26,5714"
Abril,ESCOLA W ,ABC21,Antônio Santos Cavalcanti,600,REGENCIA,5641,PROJETO DE VIDA I,45748,45777,30,6,"0,857142","25,71426"
Fevereiro,ESCOLA W ,ABC21,Antônio Santos Cavalcanti,600,REGENCIA,6363,ELETIVA I,45691,45716,26,2,"0,285714","7,428564"
Março,ESCOLA W ,ABC21,Antônio Santos Cavalcanti,600,REGENCIA,6363,ELETIVA I,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA W ,ABC21,Antônio Santos Cavalcanti,600,REGENCIA,6363,ELETIVA I,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA O ,ABC15,Ariana Galvão,521,REGENCIA,3863,ARTE I,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA O ,ABC15,Ariana Galvão,521,REGENCIA,3863,ARTE I,45717,45747,31,4,"0,571428","17,71427"
Abril,ESCOLA O ,ABC15,Ariana Galvão,521,REGENCIA,3863,ARTE I,45748,45777,30,4,"0,571428","17,14284"
Fevereiro,ESCOLA O ,ABC15,Ariana Galvão,521,REGENCIA,501,HISTORIA,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA O ,ABC15,Ariana Galvão,521,REGENCIA,501,HISTORIA,45717,45747,31,4,"0,571428","17,71427"
Abril,ESCOLA O ,ABC15,Ariana Galvão,521,REGENCIA,501,HISTORIA,45748,45777,30,4,"0,571428","17,14284"
Fevereiro,ESCOLA O ,ABC15,Ariana Galvão,521,REGENCIA,704,ARTE,45691,45716,26,14,2,52
Março,ESCOLA O ,ABC15,Ariana Galvão,521,REGENCIA,704,ARTE,45717,45747,31,14,2,62
Abril,ESCOLA O ,ABC15,Ariana Galvão,521,REGENCIA,704,ARTE,45748,45777,30,14,2,60
Fevereiro,ESCOLA O ,ABC15,Ariana Galvão,521,REGENCIA,732,ARTE II,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA O ,ABC15,Ariana Galvão,521,REGENCIA,732,ARTE II,45717,45747,31,4,"0,571428","17,71427"
Abril,ESCOLA O ,ABC15,Ariana Galvão,521,REGENCIA,732,ARTE II,45748,45777,30,4,"0,571428","17,14284"
Fevereiro,ESCOLA  AE,ABC28,Ariana Ishimoto,303,REGENCIA,4024,NOCOES DE DIREITO,45691,45716,26,2,"0,285714","7,428564"
Março,ESCOLA  AE,ABC28,Ariana Ishimoto,303,REGENCIA,4024,NOCOES DE DIREITO,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA  AE,ABC28,Ariana Ishimoto,303,REGENCIA,4024,NOCOES DE DIREITO,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,1194,QUIMICA I,45691,45716,26,2,"0,285714","7,428564"
Março,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,1194,QUIMICA I,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,1194,QUIMICA I,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,201,MATEMATICA,45691,45716,26,14,2,52
Março,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,201,MATEMATICA,45717,45717,1,14,2,2
Fevereiro,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,6211,REC APREND MATEMATICA,45691,45716,26,8,"1,142857","29,714282"
Março,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,6211,REC APREND MATEMATICA,45717,45721,5,8,"1,142857","5,714285"
Março,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,6211,REC APREND MATEMATICA,45722,45747,26,4,"0,571428","14,85713"
Abril,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,6211,REC APREND MATEMATICA,45748,45777,30,4,"0,571428","17,14284"
Fevereiro,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,801,QUIMICA,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,801,QUIMICA,45717,45747,31,4,"0,571428","17,71427"
Abril,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,801,QUIMICA,45748,45777,30,4,"0,571428","17,14284"
Fevereiro,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,901,FISICA,45691,45716,26,10,"1,428571","37,142846"
Março,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,901,FISICA,45717,45747,31,10,"1,428571","44,2857"
Abril,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,901,FISICA,45748,45777,30,10,"1,428571","42,85713"
Fevereiro,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,903,FISICA II,45691,45716,26,2,"0,285714","7,428564"
Março,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,903,FISICA II,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA H ,ABC8,Ariana Junqueira,796,REGENCIA,903,FISICA II,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA H ,ABC8,Ariana Wakabayashi,800,REGENCIA,2035,DOCENCIA SALA REC MULTF SF,45691,45716,26,15,"2,142857","55,714282"
Março,ESCOLA H ,ABC8,Ariana Wakabayashi,800,REGENCIA,2035,DOCENCIA SALA REC MULTF SF,45717,45747,31,15,"2,142857","66,42857"
Abril,ESCOLA H ,ABC8,Ariana Wakabayashi,800,REGENCIA,2035,DOCENCIA SALA REC MULTF SF,45748,45777,30,15,"2,142857","64,28571"
Abril,ESCOLA H ,ABC8,Ariana Wakabayashi,800,REGENCIA,6460,DOCENCIA II REC LINGUA PORT,45748,45777,30,14,2,60
Fevereiro,ESCOLA E,ABC5,Arthur Costa Silva,216,REGENCIA,2384,HISTORIA I,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA E,ABC5,Arthur Costa Silva,216,REGENCIA,2384,HISTORIA I,45717,45747,31,4,"0,571428","17,71427"
Abril,ESCOLA E,ABC5,Arthur Costa Silva,216,REGENCIA,2384,HISTORIA I,45748,45777,30,4,"0,571428","17,14284"
Fevereiro,ESCOLA E,ABC5,Arthur Costa Silva,216,REGENCIA,501,HISTORIA,45691,45716,26,18,"2,571428","66,857128"
Março,ESCOLA E,ABC5,Arthur Costa Silva,216,REGENCIA,501,HISTORIA,45717,45747,31,18,"2,571428","79,71427"
Abril,ESCOLA E,ABC5,Arthur Costa Silva,216,REGENCIA,501,HISTORIA,45748,45777,30,18,"2,571428","77,14284"
Fevereiro,ESCOLA F,ABC6,Arthur Costa Silva,216,REGENCIA,7502,ENSINO RELIGIOSO,45691,45716,26,8,"1,142857","29,714282"
Março,ESCOLA F,ABC6,Arthur Costa Silva,216,REGENCIA,7502,ENSINO RELIGIOSO,45717,45747,31,8,"1,142857","35,42857"
Abril,ESCOLA F,ABC6,Arthur Costa Silva,216,REGENCIA,7502,ENSINO RELIGIOSO,45748,45777,30,8,"1,142857","34,28571"
Fevereiro,ESCOLA R,ABC18,Arthur Pacheco,666,REGENCIA,601,EDUCACAO FISICA,45691,45716,26,6,"0,857142","22,285692"
Março,ESCOLA R,ABC18,Arthur Pacheco,666,REGENCIA,601,EDUCACAO FISICA,45717,45747,31,6,"0,857142","26,5714"
Abril,ESCOLA R,ABC18,Arthur Pacheco,666,REGENCIA,601,EDUCACAO FISICA,45748,45777,30,6,"0,857142","25,71426"
Fevereiro,ESCOLA R,ABC18,Arthur Pacheco,666,REGENCIA,6279,LITER ART E MOVIMENTO I,45691,45716,26,8,"1,142857","29,714282"
Março,ESCOLA R,ABC18,Arthur Pacheco,666,REGENCIA,6279,LITER ART E MOVIMENTO I,45717,45747,31,8,"1,142857","35,42857"
Abril,ESCOLA R,ABC18,Arthur Pacheco,666,REGENCIA,6279,LITER ART E MOVIMENTO I,45748,45777,30,8,"1,142857","34,28571"
Fevereiro,ESCOLA R,ABC18,Arthur Pacheco,666,REGENCIA,6363,ELETIVA I,45691,45716,26,2,"0,285714","7,428564"
Março,ESCOLA R,ABC18,Arthur Pacheco,666,REGENCIA,6363,ELETIVA I,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA R,ABC18,Arthur Pacheco,666,REGENCIA,6363,ELETIVA I,45748,45777,30,2,"0,285714","8,57142"
Abril,ESCOLA N ,ABC14,Arthur Teles,502,REGENCIA,1669,PRATICA DE FORMACAO (EST SUP),45775,45777,3,16,"2,285714","6,857142"
Fevereiro,ESCOLA  AE,ABC28,Augusto Andrade,294,REGENCIA,106,LINGUA PORTUGUESA,45691,45716,26,3,"0,428571","11,142846"
Março,ESCOLA  AE,ABC28,Augusto Andrade,294,REGENCIA,106,LINGUA PORTUGUESA,45717,45747,31,3,"0,428571","13,2857"
Abril,ESCOLA  AE,ABC28,Augusto Andrade,294,REGENCIA,106,LINGUA PORTUGUESA,45748,45777,30,3,"0,428571","12,85713"
Fevereiro,ESCOLA  AE,ABC28,Augusto Andrade,294,REGENCIA,1314,ATIV COMP MAIS APREND - LEI,45691,45716,26,2,"0,285714","7,428564"
Março,ESCOLA  AE,ABC28,Augusto Andrade,294,REGENCIA,1314,ATIV COMP MAIS APREND - LEI,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA  AE,ABC28,Augusto Andrade,294,REGENCIA,1314,ATIV COMP MAIS APREND - LEI,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA  AE,ABC28,Augusto Andrade,294,REGENCIA,1315,ATIV COMP MAIS APREND - REP,45691,45716,26,2,"0,285714","7,428564"
Março,ESCOLA  AE,ABC28,Augusto Andrade,294,REGENCIA,1315,ATIV COMP MAIS APREND - REP,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA  AE,ABC28,Augusto Andrade,294,REGENCIA,1315,ATIV COMP MAIS APREND - REP,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA  AE,ABC28,Augusto Andrade,294,REGENCIA,367,REDACAO E LEITURA,45691,45716,26,8,"1,142857","29,714282"
Março,ESCOLA  AE,ABC28,Augusto Andrade,294,REGENCIA,367,REDACAO E LEITURA,45717,45747,31,8,"1,142857","35,42857"
Abril,ESCOLA  AE,ABC28,Augusto Andrade,294,REGENCIA,367,REDACAO E LEITURA,45748,45777,30,8,"1,142857","34,28571"
Março,ESCOLA H ,ABC8,Augusto Rodrigues Ishikawa,808,REGENCIA,1348,LOGICA COMPUTACIONAL,45719,45747,29,2,"0,285714","8,285706"
Abril,ESCOLA H ,ABC8,Augusto Rodrigues Ishikawa,808,REGENCIA,1348,LOGICA COMPUTACIONAL,45748,45777,30,2,"0,285714","8,57142"
Março,ESCOLA H ,ABC8,Augusto Rodrigues Ishikawa,808,REGENCIA,4443,BANCO DE DADOS,45719,45747,29,2,"0,285714","8,285706"
Abril,ESCOLA H ,ABC8,Augusto Rodrigues Ishikawa,808,REGENCIA,4443,BANCO DE DADOS,45748,45777,30,2,"0,285714","8,57142"
Março,ESCOLA H ,ABC8,Augusto Rodrigues Ishikawa,808,REGENCIA,4491,PROGRAMACAO MOBILE,45719,45747,29,4,"0,571428","16,57141"
Abril,ESCOLA H ,ABC8,Augusto Rodrigues Ishikawa,808,REGENCIA,4491,PROGRAMACAO MOBILE,45748,45777,30,4,"0,571428","17,14284"
Março,ESCOLA H ,ABC8,Augusto Rodrigues Ishikawa,808,REGENCIA,4759,ANALISE E PROJETO DE SISTEMAS,45719,45747,29,5,"0,714285","20,71427"
Abril,ESCOLA H ,ABC8,Augusto Rodrigues Ishikawa,808,REGENCIA,4759,ANALISE E PROJETO DE SISTEMAS,45748,45777,30,5,"0,714285","21,42855"
Março,ESCOLA H ,ABC8,Augusto Rodrigues Ishikawa,808,REGENCIA,4761,PROGRAMACAO FRONT-END,45719,45747,29,4,"0,571428","16,57141"
Abril,ESCOLA H ,ABC8,Augusto Rodrigues Ishikawa,808,REGENCIA,4761,PROGRAMACAO FRONT-END,45748,45777,30,4,"0,571428","17,14284"
Março,ESCOLA H ,ABC8,Augusto Rodrigues Ishikawa,808,REGENCIA,4762,PROGRAMACAO NO DES DE SISTEMAS,45719,45747,29,4,"0,571428","16,57141"
Abril,ESCOLA H ,ABC8,Augusto Rodrigues Ishikawa,808,REGENCIA,4762,PROGRAMACAO NO DES DE SISTEMAS,45748,45777,30,4,"0,571428","17,14284"
Fevereiro,ESCOLA P ,ABC16,Augusto Rodrigues Queiroz,607,REGENCIA,1347,LINGUA INGLESA,45691,45716,26,25,"3,571428","92,857128"
Março,ESCOLA P ,ABC16,Augusto Rodrigues Queiroz,607,REGENCIA,1347,LINGUA INGLESA,45717,45747,31,25,"3,571428","110,7143"
Abril,ESCOLA P ,ABC16,Augusto Rodrigues Queiroz,607,REGENCIA,1347,LINGUA INGLESA,45748,45777,30,25,"3,571428","107,14284"
Fevereiro,ESCOLA P ,ABC16,Augusto Rodrigues Queiroz,607,REGENCIA,3865,LINGUA INGLESA I,45691,45716,26,3,"0,428571","11,142846"
Março,ESCOLA P ,ABC16,Augusto Rodrigues Queiroz,607,REGENCIA,3865,LINGUA INGLESA I,45717,45747,31,3,"0,428571","13,2857"
Abril,ESCOLA P ,ABC16,Augusto Rodrigues Queiroz,607,REGENCIA,3865,LINGUA INGLESA I,45748,45777,30,3,"0,428571","12,85713"
Fevereiro,ESCOLA O ,ABC15,Aurora Quintão,533,REGENCIA,501,HISTORIA,45691,45716,26,23,"3,285714","85,428564"
Março,ESCOLA O ,ABC15,Aurora Quintão,533,REGENCIA,501,HISTORIA,45717,45747,31,23,"3,285714","101,8571"
Abril,ESCOLA O ,ABC15,Aurora Quintão,533,REGENCIA,501,HISTORIA,45748,45777,30,23,"3,285714","98,57142"
Fevereiro,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,3525,ROBOTICA PRIMEIROS PASSOS,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,3525,ROBOTICA PRIMEIROS PASSOS,45717,45747,31,4,"0,571428","17,71427"
Abril,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,3525,ROBOTICA PRIMEIROS PASSOS,45748,45777,30,4,"0,571428","17,14284"
Fevereiro,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,3526,GAMES E PROGRAMACAO,45691,45716,26,3,"0,428571","11,142846"
Março,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,3526,GAMES E PROGRAMACAO,45717,45747,31,3,"0,428571","13,2857"
Abril,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,3526,GAMES E PROGRAMACAO,45748,45777,30,3,"0,428571","12,85713"
Fevereiro,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,3961,PENSAMENTO COMPUTACIONAL,45691,45716,26,2,"0,285714","7,428564"
Março,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,3961,PENSAMENTO COMPUTACIONAL,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,3961,PENSAMENTO COMPUTACIONAL,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,4581,ROBOTICA EDUCACIONAL,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,4581,ROBOTICA EDUCACIONAL,45717,45747,31,4,"0,571428","17,71427"
Abril,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,4581,ROBOTICA EDUCACIONAL,45748,45777,30,4,"0,571428","17,14284"
Fevereiro,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,4759,ANALISE E PROJETO DE SISTEMAS,45691,45716,26,3,"0,428571","11,142846"
Março,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,4759,ANALISE E PROJETO DE SISTEMAS,45717,45747,31,3,"0,428571","13,2857"
Abril,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,4759,ANALISE E PROJETO DE SISTEMAS,45748,45777,30,3,"0,428571","12,85713"
Fevereiro,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,4760,PROGRAMACAO BACK-END,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,4760,PROGRAMACAO BACK-END,45717,45747,31,4,"0,571428","17,71427"
Abril,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,4760,PROGRAMACAO BACK-END,45748,45777,30,4,"0,571428","17,14284"
Fevereiro,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,4762,PROGRAMACAO NO DES DE SISTEMAS,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,4762,PROGRAMACAO NO DES DE SISTEMAS,45717,45747,31,4,"0,571428","17,71427"
Abril,ESCOLA I ,ABC9,Beatriz Barros,753,REGENCIA,4762,PROGRAMACAO NO DES DE SISTEMAS,45748,45777,30,4,"0,571428","17,14284"
Fevereiro,ESCOLA I ,ABC9,Beatriz Barros,753,NAO REGENCIA,9138,SUPORTE TECNICO,45691,45716,26,3,"0,428571","11,142846"
Março,ESCOLA I ,ABC9,Beatriz Barros,753,NAO REGENCIA,9138,SUPORTE TECNICO,45717,45747,31,3,"0,428571","13,2857"
Abril,ESCOLA I ,ABC9,Beatriz Barros,753,NAO REGENCIA,9138,SUPORTE TECNICO,45748,45777,30,3,"0,428571","12,85713"
Fevereiro,ESCOLA M,ABC13,Beatriz Yamada,851,REGENCIA,2301,SOCIOLOGIA,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA M,ABC13,Beatriz Yamada,851,REGENCIA,2301,SOCIOLOGIA,45717,45747,31,4,"0,571428","17,71427"
Abril,ESCOLA M,ABC13,Beatriz Yamada,851,REGENCIA,2301,SOCIOLOGIA,45748,45777,30,4,"0,571428","17,14284"
Fevereiro,ESCOLA M,ABC13,Beatriz Yamada,851,REGENCIA,2390,SOCIOLOGIA I,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA M,ABC13,Beatriz Yamada,851,REGENCIA,2390,SOCIOLOGIA I,45717,45747,31,4,"0,571428","17,71427"
Abril,ESCOLA M,ABC13,Beatriz Yamada,851,REGENCIA,2390,SOCIOLOGIA I,45748,45777,30,4,"0,571428","17,14284"
Março,ESCOLA I ,ABC9,Beatriz Yamada,851,REGENCIA,501,HISTORIA,45722,45747,26,11,"1,571428","40,85713"
Abril,ESCOLA I ,ABC9,Beatriz Yamada,851,REGENCIA,501,HISTORIA,45748,45777,30,11,"1,571428","47,14284"
Fevereiro,ESCOLA AI,ABC32,Benício Alves Lopes,408,NAO REGENCIA,2023,PROF APOIO ED ESP T GLOB DES,45691,45716,26,20,"2,857142","74,285692"
Março,ESCOLA AI,ABC32,Benício Alves Lopes,408,NAO REGENCIA,2023,PROF APOIO ED ESP T GLOB DES,45717,45747,31,20,"2,857142","88,5714"
Abril,ESCOLA AI,ABC32,Benício Alves Lopes,408,NAO REGENCIA,2023,PROF APOIO ED ESP T GLOB DES,45748,45754,7,20,"2,857142","19,999994"
Abril,ESCOLA AI,ABC32,Benício Alves Lopes,408,NAO REGENCIA,2023,PROF APOIO ED ESP T GLOB DES,45755,45777,23,25,"3,571428","82,142844"
Fevereiro,ESCOLA Y,ABC22,Benício Alves Pinheiro,652,REGENCIA,3444,FISICA III,45691,45716,26,2,"0,285714","7,428564"
Março,ESCOLA Y,ABC22,Benício Alves Pinheiro,652,REGENCIA,3444,FISICA III,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA Y,ABC22,Benício Alves Pinheiro,652,REGENCIA,3444,FISICA III,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA Y,ABC22,Benício Alves Pinheiro,652,REGENCIA,6340,PROGRAMACAO E ROBOTICA,45691,45716,26,21,3,78
Março,ESCOLA Y,ABC22,Benício Alves Pinheiro,652,REGENCIA,6340,PROGRAMACAO E ROBOTICA,45717,45747,31,21,3,93
Abril,ESCOLA Y,ABC22,Benício Alves Pinheiro,652,REGENCIA,6340,PROGRAMACAO E ROBOTICA,45748,45777,30,21,3,90
