Mês,Escola,CodEscola,Nome Funcionario,CodFuncionario,Categoria,CodDisciplina,Disciplina,inicio do periodo,final do periodo,DiasTrabalhados,CHSuprimento,CHDiaria,CHPeriodo
Abril,ESCOLA G,ABC7,Angélica Wakabayashi,173,REGENCIA,4191,ADM FINANC E ORCAMENTARIA,45763,45777,15,4,"0,571428","8,57142"
Fevereiro,ESCOLA G,ABC7,Angélica Wakabayashi,173,REGENCIA,4393,NEGOCIACAO E VENDAS,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA G,ABC7,Angélica Wakabayashi,173,REGENCIA,4393,NEGOCIACAO E VENDAS,45717,45747,31,4,"0,571428","17,71427"
Abril,ESCOLA G,ABC7,Angélica Wakabayashi,173,REGENCIA,4393,NEGOCIACAO E VENDAS,45748,45777,30,4,"0,571428","17,14284"
Fevereiro,ESCOLA G,ABC7,Angélica Wakabayashi,173,REGENCIA,4767,TECNOLOGIAS E FERRAM DE GESTAO,45695,45716,22,2,"0,285714","6,285708"
Março,ESCOLA G,ABC7,Angélica Wakabayashi,173,REGENCIA,4767,TECNOLOGIAS E FERRAM DE GESTAO,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA G,ABC7,Angélica Wakabayashi,173,REGENCIA,4767,TECNOLOGIAS E FERRAM DE GESTAO,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA G,ABC7,Angélica Wakabayashi,173,REGENCIA,4770,CONTROLADORIA E FINANCAS,45691,45716,26,4,"0,571428","14,857128"
Março,ESCOLA G,ABC7,Angélica Wakabayashi,173,REGENCIA,4770,CONTROLADORIA E FINANCAS,45717,45747,31,4,"0,571428","17,71427"
Abril,ESCOLA G,ABC7,Angélica Wakabayashi,173,REGENCIA,4770,CONTROLADORIA E FINANCAS,45748,45777,30,4,"0,571428","17,14284"
Fevereiro,ESCOLA G,ABC7,Angélica Wakabayashi,173,REGENCIA,5020,COMUNICACAO E VENDAS,45695,45716,22,3,"0,428571","9,428562"
Março,ESCOLA G,ABC7,Angélica Wakabayashi,173,REGENCIA,5020,COMUNICACAO E VENDAS,45717,45747,31,3,"0,428571","13,2857"
Abril,ESCOLA G,ABC7,Angélica Wakabayashi,173,REGENCIA,5020,COMUNICACAO E VENDAS,45748,45777,30,3,"0,428571","12,85713"
Fevereiro,ESCOLA L,ABC12,Anthony Gabriel Câmara,815,REGENCIA,601,EDUCACAO FISICA,45691,45716,26,24,"3,428571","89,142846"
Março,ESCOLA L,ABC12,Anthony Gabriel Câmara,815,REGENCIA,601,EDUCACAO FISICA,45717,45747,31,24,"3,428571","106,2857"
Abril,ESCOLA L,ABC12,Anthony Gabriel Câmara,815,REGENCIA,601,EDUCACAO FISICA,45748,45777,30,24,"3,428571","102,85713"
Fevereiro,ESCOLA L,ABC12,Anthony Gabriel Câmara,815,REGENCIA,644,EDUCACAO FISICA I,45691,45716,26,2,"0,285714","7,428564"
Março,ESCOLA L,ABC12,Anthony Gabriel Câmara,815,REGENCIA,644,EDUCACAO FISICA I,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA L,ABC12,Anthony Gabriel Câmara,815,REGENCIA,644,EDUCACAO FISICA I,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA O ,ABC15,Anthony Gabriel Santos Yamamoto,519,REGENCIA,3961,PENSAMENTO COMPUTACIONAL,45691,45716,26,6,"0,857142","22,285692"
Março,ESCOLA O ,ABC15,Anthony Gabriel Santos Yamamoto,519,REGENCIA,3961,PENSAMENTO COMPUTACIONAL,45717,45747,31,6,"0,857142","26,5714"
Abril,ESCOLA O ,ABC15,Anthony Gabriel Santos Yamamoto,519,REGENCIA,3961,PENSAMENTO COMPUTACIONAL,45748,45777,30,6,"0,857142","25,71426"
Fevereiro,ESCOLA AA,ABC24,Anthony Oshima,376,REGENCIA,1389,MET ENS LING PORTUGUESA,45691,45716,26,2,"0,285714","7,428564"
Março,ESCOLA AA,ABC24,Anthony Oshima,376,REGENCIA,1389,MET ENS LING PORTUGUESA,45717,45747,31,2,"0,285714","8,857134"
Abril,ESCOLA AA,ABC24,Anthony Oshima,376,REGENCIA,1389,MET ENS LING PORTUGUESA,45748,45777,30,2,"0,285714","8,57142"
Fevereiro,ESCOLA AA,ABC24,Anthony Oshima,376,REGENCIA,5641,PROJETO DE VIDA I,45691,45716,26,13,"1,857142","48,285692"
Março,ESCOLA AA,ABC24,Anthony Oshima,376,REGENCIA,5641,PROJETO DE VIDA I,45717,45747,31,13,"1,857142","57,5714"
Abril,ESCOLA AA,ABC24,Anthony Oshima,376,REGENCIA,5641,PROJETO DE VIDA I,45748,45777,30,13,"1,857142","55,71426"
Fevereiro,ESCOLA AA,ABC24,Anthony Oshima,376,REGENCIA,594,PROJETO DE VIDA,45691,45711,21,1,"0,142857","2,999997"
Fevereiro,ESCOLA AA,ABC24,Anthony Oshima,376,REGENCIA,594,PROJETO DE VIDA,45712,45716,5,2,"0,285714","1,42857"
